,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1192.0,49.0,155.0,1.0,58.0,18.0,400.0,93.0,60.0,105.0,99.0,37.0,47.0,5.0,1.0,1.0,0.0
1,49.0,1049.0,285.0,0.0,144.0,3.0,125.0,52.0,14.0,16.0,160.0,100.0,17.0,28.0,0.0,1.0,0.0
2,155.0,285.0,2716.0,2.0,333.0,14.0,360.0,68.0,16.0,24.0,328.0,96.0,36.0,54.0,13.0,1.0,1.0
3,1.0,0.0,2.0,1223.0,7.0,26.0,1.0,3.0,11.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0
4,58.0,144.0,333.0,7.0,1062.0,4.0,35.0,4.0,1.0,9.0,144.0,37.0,6.0,17.0,3.0,1.0,3.0
5,18.0,3.0,14.0,26.0,4.0,274.0,11.0,17.0,8.0,10.0,6.0,6.0,2.0,5.0,0.0,0.0,0.0
6,400.0,125.0,360.0,1.0,35.0,11.0,1282.0,60.0,36.0,58.0,120.0,57.0,269.0,1.0,0.0,0.0,0.0
7,93.0,52.0,68.0,3.0,4.0,17.0,60.0,220.0,9.0,21.0,109.0,16.0,38.0,2.0,0.0,0.0,0.0
8,60.0,14.0,16.0,11.0,1.0,8.0,36.0,9.0,173.0,5.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0
9,105.0,16.0,24.0,1.0,9.0,10.0,58.0,21.0,5.0,188.0,27.0,14.0,67.0,0.0,0.0,0.0,0.0
10,99.0,160.0,328.0,0.0,144.0,6.0,120.0,109.0,0.0,27.0,796.0,30.0,29.0,13.0,1.0,0.0,2.0
11,37.0,100.0,96.0,2.0,37.0,6.0,57.0,16.0,12.0,14.0,30.0,370.0,28.0,6.0,1.0,0.0,0.0
12,47.0,17.0,36.0,0.0,6.0,2.0,269.0,38.0,7.0,67.0,29.0,28.0,550.0,0.0,0.0,0.0,0.0
13,5.0,28.0,54.0,0.0,17.0,5.0,1.0,2.0,0.0,0.0,13.0,6.0,0.0,393.0,0.0,0.0,0.0
14,1.0,0.0,13.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0
15,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
16,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
