0:0	after the signing ceremony , president akaev and premier li peng answered the questions from reporters respectively .	N/A	after the signing ceremonym president akaev and premier li peng answered questions of reporters .	N/A	1	1	2-2 3-3 6-5 13-11 17-14 5-4 10-9 7-6 11-10 0-0 9-8 14-12 8-7 1-1 15-13 12-11			88
4:4	clinton planned to increase by 30 % the funds for the research of aids in the national public health institute .	N/A	clinton plans to increase aids research funds for the national institute of health by 30 % .	N/A	1	1	5-14 15-8 18-12 2-2 3-3 11-5 6-15 4-13 10-5 7-6 8-6 19-10 1-1 13-4 20-16 0-0 16-9 14-7			89
6:6	chinese enterprises have become the biggest outside investors in macao .	N/A	china enterprises become the biggest investor in macao .	N/A	1	1	10-8 2-2 5-4 4-3 3-2 8-6 1-1 7-5 9-7 0-0			85
9:9	"also , neither the german government nor the irish government has paid any ransom . """	N/A	"neither the german nor irish governments paid any ransom . """	N/A	1	1	7-4 8-4 13-8 2-0 6-3 9-5 10-6 4-2 11-6 14-9 15-10 5-5 3-1 12-7			83
30:30	china imported 14.447 billion american dollars of automobile products in the year 2003 , an increase of 84 percent on an annual basis , setting a record .	N/A	china imported 14.447 billion american dollars of car products in 2003 , an annual increase of 84 % , representing a record .	N/A	1	1	20-13 6-6 26-21 5-5 27-22 0-0 2-2 10-10 16-15 14-12 17-16 15-14 9-9 3-3 13-11 23-18 24-19 18-17 1-1 4-4 12-10 7-7 19-13 8-8 11-10 21-13 22-13 25-20			81
44:44	at the same time an earthquake registering 4.5 on the richter scale hit the town of jasaran in the province of buir ahmad on the same day , according to iranian radio .	N/A	at the same time an earthquake of force 4.5 shook jasaran in boyer ahmad province the same day , according to iranian radio .	N/A	1	1	28-19 30-21 19-14 14-10 7-8 5-5 31-22 0-0 25-16 2-2 16-10 18-14 17-11 12-9 27-18 3-3 15-10 1-1 4-4 13-10 22-13 21-12 26-17 29-20 32-23 24-15 11-7 6-6 8-7 10-7 9-7			77
52:52	according to marchi , human rights and social justice should be made important contents in canada 's foreign trade policy .	N/A	human rights and social justice should become an important part of canadian foreign policy .	N/A	1	1	7-3 13-9 6-2 19-13 4-0 8-4 14-10 10-6 9-5 11-6 15-11 20-14 17-12 16-11 12-8 5-1			78
53:53	... and there is no distinguishing between religion and politics .	N/A	.. and do not distinguish between religion and politics	N/A	1	1	6-5 5-4 7-6 3-2 8-7 1-1 4-3 0-0 9-8			88
54:54	this subsidiary committee of the arab league will raise its resolution to the meeting of the atomic energy agency next september in vienna .	N/A	this arab league committee will submit its report to a meeting of the atomic agency next september in vienna .	N/A	1	1	9-6 11-8 6-2 0-0 15-12 14-11 19-15 18-14 21-17 12-9 7-4 4-1 2-3 13-10 16-13 23-19 8-5 20-16 5-1 22-18 10-7			84
58:58	it should be noted that the reservoir was built in the year 1957 with a storage capacity of 30 million cubic meters .	N/A	the reservoir was built in 1957 with a storage capacity of 30 million cubic meters .	N/A	1	1	15-8 21-14 12-5 11-5 8-3 20-13 22-15 10-5 6-1 7-2 5-0 18-11 17-10 14-7 19-12 13-6 9-4 16-9			83
61:61	it is the poor countries , however , that suffer most of all from water problems , which become aggravated under the pressures of population growth .	N/A	but the poorest countries suffer the most from water problems , which are compounded by the pressure of population growth .	N/A	1	1	25-19 20-14 14-8 26-20 11-5 24-18 16-10 6-0 11-6 17-11 12-6 3-2 18-12 10-5 2-1 4-3 9-4 12-5 19-13 13-7 21-15 10-6 15-9 22-16 23-17			80
67:67	due to danish government 's unfriendly policy towards immigrants , the number of foreigners taking refugees in denmark has fallen from 14,347 in 1993 to 3,500 in 2003 .	N/A	the unfriendly attitude of danish government towards immigrants has reduced the number of refugees from 14,347 in 1993 to 3,500 in 2003 .	N/A	1	1	12-12 25-19 2-4 20-14 11-11 8-7 26-20 19-9 24-18 10-10 28-22 15-13 7-6 4-3 3-5 18-8 21-15 22-16 23-17 27-21 5-1 6-2 4-0			81
68:68	"the state department spokesman boucher said : "" we are not willing to pay again for the agreements that have been reached already . """	N/A	"state department spokesman richard boucher said , "" we wo n't pay for the already reached agreements again . """	N/A	1	1	6-6 9-10 10-9 22-14 1-0 5-5 15-12 10-10 3-2 11-9 17-16 12-9 9-9 13-11 23-18 24-19 2-1 4-3 4-4 12-10 7-7 16-13 8-8 21-15 11-10 14-17 0-0			82
70:70	""" we do n't have medicines to treat convulsions ; we do n't even have valium or anything else for that matter . """	N/A	""" we no longer have medicines for convulsions , nor do we have valium or anything else "" ."	N/A	1	1	6-6 8-7 5-5 0-0 2-2 14-12 3-2 18-16 12-9 15-13 3-3 7-6 2-3 1-1 4-4 16-14 17-15 10-11 11-10 23-17 9-8 22-18			82
71:71	summer in the us this year proved to be one of the hottest summers in history .	N/A	the summer in us this year is one of the hottest in history .	N/A	1	1	10-8 15-12 16-13 3-3 0-1 14-11 6-6 1-2 7-6 0-0 2-3 5-5 8-6 9-7 11-9 4-4 12-10			82
72:72	now it 's 15 months since hong kong returned to chinese jurisdiction , the hong kong government has been trying to remind the residents that they are chinese .	N/A	since the reversion 15 months ago , hong kong government has been trying to remind residents that they are chinese .	N/A	1	1	20-13 5-0 26-18 25-17 12-6 17-10 19-12 16-9 15-8 21-14 3-3 24-16 18-11 4-4 22-15 27-19 14-7 28-20 23-15 9-1 8-2 10-2 11-1 10-1 7-2 8-1 6-2 9-2 11-2 7-1 6-1			77
74:74	blair had talks in jeddah with saudi officials concerning the peace process and called for a greater role to be played by the european union in this process .	N/A	blair discussed the peace process with saudi officials in jeddah and called for a greater role of the european union .	N/A	1	1	22-17 10-3 6-6 5-5 0-0 3-8 14-12 4-9 15-13 13-11 23-18 24-19 2-1 1-1 16-14 12-10 7-7 17-15 11-4 21-16 28-20 9-2			78
85:85	"in the presence of the resident diplomatic corps of the united arab emirates , baker added , "" we were very shy and paralyzed . """	N/A	"baker admitted in the presence of the diplomats in the emirates "" we were shy and paralysed . """	N/A	1	1	25-18 2-4 20-14 24-17 0-2 1-3 10-10 17-11 9-9 18-12 21-14 14-0 3-5 12-10 7-7 15-1 4-6 19-13 8-8 23-16 22-15 6-7 11-10			78
88:88	from january to july last year , china imported a total amount of 316 million u.s. dollars worth of meat products from the united states .	N/A	from january to july last year , china imported 316 million usd worth of meat from the usa .	N/A	1	1	19-14 25-18 14-10 6-6 20-14 16-11 5-5 0-0 13-9 24-17 2-2 15-11 17-12 18-13 3-3 1-1 4-4 7-7 8-8 21-15 22-16 23-17			77
90:90	it should be noted that egypt is undertaking mediation efforts in an attempt to resume the palestinian / israeli negotiations .	N/A	egypt is making mediation efforts in an attempt to restart palestinian / israeli negotiations .	N/A	1	1	18-12 19-13 16-10 8-3 13-8 10-5 11-6 14-9 17-11 20-14 7-2 5-0 15-10 12-7 9-4 6-1			79
97:97	the u.s. economy grew only 3.3 % in the third quarter , which is lower than the 5.5 % growth in the first quarter .	N/A	u.s. third quarter growth is 3.3 % , which is lower than the 5.5 % recorded in first quarter .	N/A	1	1	22-17 14-10 6-6 5-5 1-0 0-0 13-9 11-7 9-1 18-14 15-11 21-17 17-13 10-2 3-3 23-18 24-19 16-12 12-8 20-16 19-15 8-1			79
107:107	"the foreign ministers held a tripartite meeting during the "" contributions of new democracies to euro-atlantic security "" summit hosted by president peter stoyanov ."	N/A	the three foreign ministers met during the summit on the contribution of new democracies to euro-atlantic security .	N/A	1	1	24-17 12-12 6-4 1-2 10-9 10-10 18-7 16-16 11-11 15-15 2-3 8-6 13-13 7-5 4-4 3-4 0-0 14-14 5-1			78
